player_name,season,matches_played,team,successful-tackles
Sandeep Kandola,1,16,telugu-titans,55
Ravinder Pahal,1,14,dabang-delhi-kc,53
Dharmaraj Cheralathan,1,15,bengaluru-bulls,41
Manjeet Chhillar,1,16,bengaluru-bulls,39
Mohit Chhillar,1,14,u-mumba,39
Surender Nada,1,14,u-mumba,39
Sandeep Narwal,1,16,patna-pirates,34
Ravi Kumar,1,13,puneri-paltan,33
Somvir Shekhar,1,14,bengaluru-bulls,32
Deepak Niwas Hooda,1,15,telugu-titans,32
Jeeva Kumar,1,13,u-mumba,31
Kuldeep Singh,1,14,jaipur-pink-panthers,30
Joginder Singh Narwal,1,14,bengaluru-bulls,30
Ran Singh,1,14,jaipur-pink-panthers,27
Girish Maruti Ernak,1,13,patna-pirates,26
D. Suresh Kumar,1,16,patna-pirates,26
Vishal Mane,1,14,u-mumba,26
Nilesh Shinde,1,12,bengal-warriors,21
Sachin Khambe,1,8,bengal-warriors,20
Amit Hooda,1,12,patna-pirates,20
Sunil,1,9,patna-pirates,19
Rakesh Singh Kumar,1,13,dabang-delhi-kc,17
Rohit Rana,1,10,jaipur-pink-panthers,16
Rajesh Narwal,1,14,jaipur-pink-panthers,16
Rajaguru Subramanian,1,12,telugu-titans,15
Rishank Devadiga,1,13,u-mumba,14
Shyam Kumar Sah,1,7,bengal-warriors,13
Bajirao Hodage,1,7,bengal-warriors,13
Manoj Kumar,1,14,puneri-paltan,13
Manoj Dhull,1,7,puneri-paltan,13
Vijin Thangadurai,1,7,bengal-warriors,11
Amit Singh Chhillar,1,6,dabang-delhi-kc,11
Dadaso Balaso Awad,1,7,dabang-delhi-kc,10
C. Arun,1,8,jaipur-pink-panthers,10
Deepak Dhull,1,8,bengal-warriors,10
G.S. Manikandan,1,13,dabang-delhi-kc,9
Vijender Singh,1,7,puneri-paltan,9
Fazel Atrachali,1,5,u-mumba,9
Meraj Sheykh,1,15,telugu-titans,9
Rahul Chaudhari,1,14,telugu-titans,9
Prashant Chavan,1,11,jaipur-pink-panthers,9
D. Gopu,1,7,telugu-titans,9
Shrikant Tewthia,1,9,dabang-delhi-kc,8
Preetam Chhillar,1,12,bengaluru-bulls,8
Jasvir Singh,1,13,jaipur-pink-panthers,8
Bhupender Singh,1,11,u-mumba,8
Harvinder Singh,1,4,puneri-paltan,7
Hadi Oshtorak,1,4,telugu-titans,6
Anup Kumar,1,14,u-mumba,6
Gangadhari Mallesh,1,10,jaipur-pink-panthers,6
Mahipal Narwal,1,9,puneri-paltan,6
Vikas Kale,1,8,bengal-warriors,6
Parveen M. Jangra,1,6,bengal-warriors,5
Kalimuthu Balamahendran,1,6,puneri-paltan,5
Gurvinder Singh,1,16,patna-pirates,5
Tae Deok Eom,1,8,patna-pirates,5
Varinder Singh,1,8,patna-pirates,5
Deepak Narwal,1,16,patna-pirates,4
Rajeev Kumar,1,3,dabang-delhi-kc,4
Deepak Kumar,1,4,bengal-warriors,4
Isac Antony,1,7,telugu-titans,4
T. Prasad,1,6,telugu-titans,4
Sagar Khatale,1,4,puneri-paltan,4
Rupesh Tomar,1,6,telugu-titans,4
Sunil Jaipal,1,10,bengal-warriors,4
Prashanth Kumar Rai,1,15,telugu-titans,3
Seong Ryeol Kim,1,4,bengal-warriors,3
Kashiling Adake,1,14,dabang-delhi-kc,3
Jitesh Joshi,1,5,puneri-paltan,3
Rakesh Kumar,1,4,patna-pirates,3
Ravi Dalal,1,11,patna-pirates,3
Surender Singh,1,2,puneri-paltan,3
Rohit Kumar Choudary,1,14,dabang-delhi-kc,3
K. Prapanjan,1,4,u-mumba,2
Anoop E.V.,1,2,u-mumba,2
Ashish Kumar,1,5,bengaluru-bulls,2
Aman Kumar,1,4,patna-pirates,2
Amit Kumar Tomar,1,9,dabang-delhi-kc,2
Vineet Sharma,1,8,bengal-warriors,2
Nitin More,1,3,puneri-paltan,2
Jang Kun Lee,1,14,bengal-warriors,2
Jasmer Singh Gulia,1,3,dabang-delhi-kc,2
Wazir Singh,1,11,puneri-paltan,2
Sukesh Hegde,1,13,telugu-titans,2
Sachin Shingade,1,4,telugu-titans,2
Samarjeet Singh,1,5,jaipur-pink-panthers,1
Mahendra Ganesh Rajput,1,12,bengal-warriors,1
Pradeep Kumar,1,6,u-mumba,1
Suresu Kumar,1,1,u-mumba,1
Kedar Lal,1,9,bengal-warriors,1
Shabeer Bappu,1,10,u-mumba,1
Jeeva Gopal,1,2,u-mumba,1
Gurpreet Singh,1,2,bengaluru-bulls,1
Ajay Thakur,1,13,bengaluru-bulls,1
Chandran Ranjit,1,1,telugu-titans,1
Pravin Niwale,1,8,puneri-paltan,1
Rajesh Mondal,1,15,bengaluru-bulls,1
Navneet Gautam,1,7,jaipur-pink-panthers,1
Jishnu,1,3,telugu-titans,1
Amit Kumar,1,1,puneri-paltan,1
Ravit Kumar,1,3,telugu-titans,1
Sanjay Kumar,1,7,puneri-paltan,1
Yogesh Hooda,1,4,puneri-paltan,1
Sandeep Malik,1,1,bengaluru-bulls,1
Ashish Chhokar,1,6,bengaluru-bulls,1
Adinath Sakharam Gavali,1,1,bengaluru-bulls,1
Hyunil Park,1,2,telugu-titans,1
